tmin	tier	text	tmax
0	silences	silent	2.866667
2.866667	silences	sounding	3.226667
3.226667	silences	silent	14.010667
14.010667	silences	sounding	14.314667
14.314667	silences	silent	22.490667
22.490667	silences	sounding	25.754667
25.754667	silences	silent	26.386667
26.386667	silences	sounding	29.186667
29.186667	silences	silent	29.970667
29.970667	silences	sounding	30.610667
30.610667	silences	silent	30.906667
30.906667	silences	sounding	33.570667
33.570667	silences	silent	33.770667
33.770667	silences	sounding	34.658667
34.658667	silences	silent	34.898667
34.898667	silences	sounding	36.066667
36.066667	silences	silent	37.402667
37.402667	silences	sounding	37.546667
37.546667	silences	silent	37.818667
37.818667	silences	sounding	40.378667
40.378667	silences	silent	46.522667
46.522667	silences	sounding	47.898667
47.898667	silences	silent	48.114667
48.114667	silences	sounding	50.242667
50.242667	silences	silent	52.290667
52.290667	silences	sounding	52.594667
52.594667	silences	silent	52.834667
52.834667	silences	sounding	53.938667
53.938667	silences	silent	54.154667
54.154667	silences	sounding	54.882667
54.882667	silences	silent	55.674667
55.674667	silences	sounding	56.746667
56.746667	silences	silent	57.330667
57.330667	silences	sounding	60.650667
60.650667	silences	silent	61.714667
61.714667	silences	sounding	64.826667
64.826667	silences	silent	69.770667
69.770667	silences	sounding	70.674667
70.674667	silences	silent	70.898667
70.898667	silences	sounding	71.538667
71.538667	silences	silent	72.098667
72.098667	silences	sounding	73.850667
73.850667	silences	silent	74.154667
74.154667	silences	sounding	74.298667
74.298667	silences	silent	76.282667
76.282667	silences	sounding	76.802667
76.802667	silences	silent	77.034667
77.034667	silences	sounding	79.138667
79.138667	silences	silent	86.058667
86.058667	silences	sounding	86.218667
86.218667	silences	silent	86.434667
86.434667	silences	sounding	86.626667
86.626667	silences	silent	86.866667
86.866667	silences	sounding	89.002667
89.002667	silences	silent	94.498667
94.498667	silences	sounding	94.666667
94.666667	silences	silent	96.666667
96.666667	silences	sounding	96.994667
96.994667	silences	silent	97.674667
97.674667	silences	sounding	98.122667
98.122667	silences	silent	98.378667
98.378667	silences	sounding	102.434667
102.434667	silences	silent	105.746667
105.746667	silences	sounding	105.866667
105.866667	silences	silent	107.202667
107.202667	silences	sounding	110.066667
110.066667	silences	silent	110.266667
110.266667	silences	sounding	111.266667
111.266667	silences	silent	111.490667
111.490667	silences	sounding	113.026667
113.026667	silences	silent	130.306667
130.306667	silences	sounding	130.498667
130.498667	silences	silent	132.562667
132.562667	silences	sounding	132.730667
132.730667	silences	silent	133.762667
133.762667	silences	sounding	134.314667
134.314667	silences	silent	134.650667
134.650667	silences	sounding	136.826667
136.826667	silences	silent	139.450667
139.450667	silences	sounding	139.554667
139.554667	silences	silent	160.994667
160.994667	silences	sounding	161.858667
161.858667	silences	silent	162.818667
162.818667	silences	sounding	167.674667
167.674667	silences	silent	170.666667
170.666667	silences	sounding	171.090667
171.090667	silences	silent	183.762667
183.762667	silences	sounding	183.930667
183.930667	silences	silent	184.474667
184.474667	silences	sounding	187.978667
187.978667	silences	silent	194.714667
194.714667	silences	sounding	195.034667
195.034667	silences	silent	195.234667
195.234667	silences	sounding	195.394667
195.394667	silences	silent	195.706667
195.706667	silences	sounding	197.986667
197.986667	silences	silent	206.762667
206.762667	silences	sounding	207.250667
207.250667	silences	silent	207.578667
207.578667	silences	sounding	210.586667
210.586667	silences	silent	215.658667
215.658667	silences	sounding	216.234667
216.234667	silences	silent	216.658667
216.658667	silences	sounding	219.298667
219.298667	silences	silent	229.762667
229.762667	silences	sounding	230.162667
230.162667	silences	silent	230.626667
230.626667	silences	sounding	231.154667
231.154667	silences	silent	231.842667
231.842667	silences	sounding	233.834667
233.834667	silences	silent	239.914667
239.914667	silences	sounding	242.234667
242.234667	silences	silent	242.826667
242.826667	silences	sounding	243.658667
243.658667	silences	silent	244.058667
244.058667	silences	sounding	244.378667
244.378667	silences	silent	244.730667
244.730667	silences	sounding	246.594667
246.594667	silences	silent	251.354667
251.354667	silences	sounding	251.826667
251.826667	silences	silent	252.418667
252.418667	silences	sounding	255.978667
255.978667	silences	silent	259.450667
259.450667	silences	sounding	259.762667
259.762667	silences	silent	260.610667
260.610667	silences	sounding	262.458667
262.458667	silences	silent	266.170667
266.170667	silences	sounding	266.962667
266.962667	silences	silent	267.234667
267.234667	silences	sounding	268.146667
268.146667	silences	silent	268.698667
268.698667	silences	sounding	269.242667
269.242667	silences	silent	269.778667
269.778667	silences	sounding	270.578667
270.578667	silences	silent	272.218667
272.218667	silences	sounding	276.290667
276.290667	silences	silent	277.474667
277.474667	silences	sounding	277.578667
277.578667	silences	silent	279.026667
279.026667	silences	sounding	279.442667
279.442667	silences	silent	280.354667
280.354667	silences	sounding	282.666667
282.666667	silences	silent	283.170667
283.170667	silences	sounding	285.162667
285.162667	silences	silent	288.890667
288.890667	silences	sounding	289.090667
289.090667	silences	silent	291.898667
291.898667	silences	sounding	292.610667
292.610667	silences	silent	292.858667
292.858667	silences	sounding	295.930667
295.930667	silences	silent	297.858667
297.858667	silences	sounding	298.346667
298.346667	silences	silent	301.122667
301.122667	silences	sounding	301.818667
301.818667	silences	silent	302.098667
302.098667	silences	sounding	302.746667
302.746667	silences	silent	304.170667
304.170667	silences	sounding	306.402667
306.402667	silences	silent	311.618667
311.618667	silences	sounding	312.162667
312.162667	silences	silent	312.666667
312.666667	silences	sounding	313.602667
313.602667	silences	silent	324.682667
324.682667	silences	sounding	327.730667
327.730667	silences	silent	327.954667
327.954667	silences	sounding	328.058667
328.058667	silences	silent	332.090667
332.090667	silences	sounding	332.546667
332.546667	silences	silent	332.770667
332.770667	silences	sounding	332.874667
332.874667	silences	silent	333.330667
333.330667	silences	sounding	333.690667
333.690667	silences	silent	334.210667
334.210667	silences	sounding	334.674667
334.674667	silences	silent	334.898667
334.898667	silences	sounding	336.314667
336.314667	silences	silent	349.234667
349.234667	silences	sounding	350.610667
350.610667	silences	silent	352.450667
352.450667	silences	sounding	353.122667
353.122667	silences	silent	356.570667
356.570667	silences	sounding	357.426667
357.426667	silences	silent	358.549333
